@RELATION svm_inter
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {negative,positive}

@DATA
0.070471,0.008466,2.963692,0.128974,0.149070,0.512801,0.012328,0.104919,-27.323671,1.641512,-0.427654,-0.364155,-0.366235,0.025436,-0.048630,-0.082182,-0.045900,-0.052531,-0.088374,-0.034338,-0.070634,0.014422,0.009155,0.018958,0.013203,0.014943,0.013319,0.019477,0.005826,0.010962,0.014764,0.016276,0.009563,0.018606,0.053511,0.008730,0.361062,0.050147,0.031997,0.465022,0.007997,0.087663,2.485979,0.940324,0.845636,0.566947,0.470644,0.412368,0.346401,0.308234,0.294458,0.288346,0.288118,0.288149,0.296721,0.018780,0.013694,0.021307,0.017662,0.018157,0.019107,0.021750,0.010248,0.015005,0.016959,0.019758,0.014217,0.010816,negative
0.066253,0.016530,2.999660,0.127907,0.148898,0.569036,0.012519,0.107966,-25.730148,1.646248,0.325961,-0.045692,-0.261329,0.019937,-0.018727,-0.031036,-0.117476,-0.012576,-0.178457,0.005681,-0.165026,0.017175,0.005720,0.021175,0.017094,0.022086,0.013121,0.027640,0.004045,0.008510,0.020143,0.019179,0.007180,0.022055,0.054442,0.012422,0.348070,0.053440,0.031399,0.512758,0.008538,0.094719,2.565834,0.976030,0.921619,0.518843,0.533333,0.411203,0.372386,0.302428,0.312518,0.280171,0.280482,0.274839,0.276700,0.022503,0.008858,0.027053,0.024737,0.028003,0.018484,0.031888,0.006900,0.011964,0.022744,0.022796,0.010703,0.013709,negative
0.064548,0.031881,3.095937,0.113781,0.128454,0.649226,0.009124,0.108020,-23.880415,0.975986,-0.123163,-0.381275,-0.142680,-0.087692,-0.241721,-0.300409,-0.305055,0.002200,-0.099326,0.066410,-0.017119,0.012230,0.005499,0.013824,0.013197,0.016543,0.018009,0.017468,0.007022,0.012769,0.011983,0.012059,0.006778,0.016965,0.028104,0.025836,0.228421,0.026872,0.029388,0.344543,0.004304,0.051109,1.569862,0.862655,0.742058,0.443794,0.436750,0.393443,0.377481,0.334626,0.355770,0.366338,0.356047,0.331708,0.324923,0.015110,0.008344,0.016567,0.017460,0.020504,0.023342,0.019267,0.011047,0.017000,0.014921,0.014555,0.010343,0.009341,negative
0.084803,0.032727,3.108531,0.152884,0.160409,0.653461,0.007767,0.132081,-23.741019,1.581972,-0.500920,-0.385927,-0.416199,0.122311,-0.138198,-0.052881,-0.093120,0.014959,-0.117768,-0.093408,-0.132307,0.015590,0.009528,0.017676,0.014149,0.014619,0.014569,0.015499,0.005923,0.011297,0.013931,0.014203,0.010555,0.016340,0.057028,0.019859,0.248234,0.046350,0.021838,0.480114,0.005416,0.106388,1.631869,0.737449,0.685405,0.424926,0.490001,0.337673,0.303041,0.269922,0.256116,0.252946,0.247820,0.244823,0.241907,0.018404,0.013291,0.019858,0.017673,0.017265,0.017827,0.017657,0.009112,0.013839,0.015215,0.015228,0.013592,0.009305,negative
0.050450,0.004191,2.929304,0.100982,0.133685,0.380293,0.010536,0.079664,-28.715314,1.553700,-0.205739,-0.182705,-0.459158,0.012440,-0.077879,-0.049826,-0.121906,-0.028339,-0.118352,-0.073048,-0.084480,0.018653,0.008719,0.020173,0.016255,0.018322,0.013059,0.018154,0.005880,0.009924,0.013092,0.016600,0.009552,0.016545,0.030604,0.005246,0.399995,0.032824,0.033216,0.335759,0.008970,0.050985,2.668287,0.706607,0.740377,0.383435,0.442357,0.341897,0.325154,0.271730,0.252403,0.239089,0.235154,0.228878,0.224977,0.019810,0.010424,0.019723,0.017146,0.018135,0.015131,0.016674,0.009009,0.011455,0.013538,0.017138,0.011691,0.008790,negative
0.055490,0.005542,2.932844,0.110240,0.140097,0.431656,0.011323,0.080935,-29.168640,1.879151,-0.064231,-0.414979,-0.482800,0.115431,-0.035683,-0.128504,-0.098527,-0.013255,-0.083224,-0.047901,-0.044000,0.016305,0.008906,0.020397,0.017262,0.021702,0.015678,0.018866,0.005762,0.011582,0.015533,0.018036,0.008959,0.017899,0.035522,0.006697,0.387294,0.035068,0.031667,0.378955,0.007565,0.062479,2.596121,0.749694,0.719364,0.429480,0.455537,0.345405,0.313203,0.286286,0.259940,0.241356,0.236940,0.231082,0.227532,0.018833,0.012731,0.020211,0.019010,0.021807,0.018584,0.017962,0.008994,0.013468,0.016051,0.018844,0.011983,0.009716,negative
0.067676,0.016134,3.035026,0.134840,0.156361,0.521472,0.014887,0.097385,-26.884895,2.736276,0.553319,-0.615393,-0.162921,0.240668,0.164828,-0.008139,-0.179495,-0.043172,-0.084775,0.047776,-0.130092,0.016402,0.005832,0.023503,0.016260,0.023951,0.015216,0.034329,0.004630,0.008551,0.022531,0.021668,0.005617,0.024986,0.061828,0.012053,0.287806,0.058010,0.030581,0.595155,0.010542,0.109142,2.407149,1.021298,0.894171,0.513822,0.435446,0.361523,0.316902,0.298359,0.273641,0.243054,0.235843,0.233214,0.241234,0.022278,0.010254,0.027603,0.023175,0.028152,0.020738,0.034873,0.008933,0.012433,0.025783,0.025087,0.009764,0.013416,negative
0.052106,0.005914,2.961665,0.121317,0.161610,0.319626,0.015850,0.075244,-28.298954,2.388967,-0.418411,-0.209365,-0.257610,0.249010,-0.009547,0.039579,-0.059727,-0.006428,-0.045252,-0.007983,-0.046089,0.018534,0.007132,0.032132,0.014697,0.021225,0.013795,0.031646,0.005559,0.008935,0.015698,0.024733,0.010719,0.026374,0.047224,0.006234,0.346461,0.053255,0.034443,0.401451,0.011816,0.086973,2.625183,0.884619,0.781967,0.474978,0.480630,0.363251,0.345884,0.294421,0.291271,0.271356,0.272346,0.269783,0.263341,0.024323,0.012148,0.034711,0.020681,0.025012,0.019883,0.033647,0.010533,0.012480,0.018849,0.028590,0.016068,0.013138,negative
0.097061,0.017368,3.019403,0.170635,0.177001,0.685015,0.011090,0.141573,-25.892772,2.018794,-0.211984,-0.365782,-0.017659,0.248971,0.008046,0.046185,-0.045996,0.108529,-0.060740,0.065206,-0.071647,0.014231,0.007387,0.025627,0.012070,0.018727,0.013032,0.019108,0.006207,0.009764,0.014231,0.022423,0.007922,0.020098,0.083392,0.014336,0.310931,0.072792,0.026854,0.638164,0.008732,0.141692,2.223761,0.975440,0.844523,0.497932,0.476564,0.385027,0.334708,0.298888,0.311493,0.273282,0.266015,0.255541,0.257141,0.019862,0.011959,0.028465,0.017036,0.022185,0.018866,0.021172,0.010827,0.014602,0.017734,0.025591,0.012714,0.011613,negative
0.065082,0.009439,3.001151,0.130523,0.157210,0.472764,0.011833,0.098485,-26.621373,2.028183,0.063850,-0.099736,-0.203481,0.158468,-0.014526,0.055141,0.036827,0.044073,-0.056674,0.024614,-0.062464,0.014428,0.007977,0.026022,0.012764,0.024705,0.012892,0.029002,0.004293,0.010026,0.017336,0.019432,0.007843,0.022010,0.058337,0.008321,0.334621,0.056391,0.030572,0.521192,0.007705,0.102262,2.649439,0.902950,0.862886,0.493161,0.526361,0.395173,0.361779,0.319953,0.286603,0.264397,0.260800,0.255490,0.249247,0.018550,0.012320,0.028554,0.016712,0.026692,0.018323,0.030045,0.007589,0.014246,0.019679,0.022130,0.012256,0.011818,negative
