@RELATION randomforest_inter
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {negative,positive}

@DATA
0.052680,0.008744,2.626846,0.108179,0.147798,0.219352,0.001486,0.055430,-23.683111,2.479193,-0.097916,0.243270,-0.713574,-0.161154,-0.418223,-0.055798,-0.144827,0.034190,-0.042680,-0.135660,-0.103719,0.009585,0.011809,0.004636,0.015170,0.004087,0.005795,0.005366,0.007881,0.004385,0.006253,0.007470,0.005067,0.010997,0.029190,0.008666,0.553207,0.049814,0.040274,0.265399,0.001152,0.053468,2.645156,0.677547,1.062525,0.531417,0.688388,0.424389,0.415285,0.267861,0.326418,0.262004,0.206427,0.179119,0.194497,0.016204,0.018341,0.007089,0.027022,0.006504,0.008642,0.007451,0.013338,0.006557,0.009335,0.010450,0.007800,0.009193,positive
0.060865,0.010110,2.534021,0.122107,0.159013,0.283387,0.001315,0.065305,-23.465471,2.351037,-0.044995,0.201623,-0.809874,-0.167525,-0.451516,0.004943,0.025623,0.006567,0.055999,-0.092190,0.032709,0.007633,0.008323,0.004485,0.014222,0.003185,0.008731,0.004224,0.008381,0.004943,0.006912,0.007961,0.007299,0.010203,0.031198,0.008040,0.539574,0.048806,0.036200,0.298011,0.001192,0.061648,2.281712,0.605480,0.982428,0.466319,0.610832,0.464839,0.404339,0.279331,0.314611,0.271670,0.232271,0.200522,0.192329,0.010954,0.013211,0.006497,0.022015,0.004110,0.013954,0.005867,0.012417,0.006085,0.008560,0.009364,0.009008,0.007755,positive
0.055414,0.042303,2.597762,0.132237,0.166696,0.367459,0.000995,0.091146,-23.338481,1.965287,0.026963,0.174397,-0.971061,-0.146904,-0.181535,-0.198342,0.005171,-0.068220,-0.152646,-0.088889,-0.153807,0.007522,0.008308,0.003539,0.017884,0.004520,0.005827,0.004668,0.007051,0.005379,0.007207,0.010890,0.004135,0.008952,0.024818,0.062962,0.537837,0.053863,0.038989,0.374018,0.000760,0.082009,4.402262,0.828122,0.790831,0.456585,0.589484,0.380999,0.346144,0.248923,0.275931,0.230365,0.249556,0.212324,0.210072,0.010340,0.012168,0.005263,0.022057,0.006145,0.008156,0.007082,0.010232,0.006159,0.009135,0.010634,0.004130,0.006329,positive
0.057489,0.013862,2.623830,0.117177,0.156551,0.268165,0.001280,0.066461,-22.784251,2.412515,-0.328286,0.239540,-0.761925,-0.113079,-0.428436,-0.052232,0.015194,-0.070949,0.095787,-0.097665,0.036522,0.009320,0.006383,0.006463,0.017133,0.003466,0.010060,0.003859,0.008594,0.003761,0.005073,0.006242,0.005875,0.011033,0.032691,0.011753,0.540529,0.050357,0.037169,0.324884,0.000869,0.064699,2.424339,0.726101,0.947921,0.458659,0.640332,0.453297,0.383049,0.283935,0.300079,0.250443,0.220702,0.201995,0.190431,0.013410,0.009794,0.011092,0.027270,0.004527,0.016774,0.005874,0.013924,0.005203,0.007846,0.008188,0.008180,0.009104,positive
0.066201,0.009015,2.540568,0.128273,0.168803,0.301218,0.001196,0.068268,-24.589634,2.444797,-0.043174,0.427371,-0.591137,-0.264825,-0.398768,-0.055001,0.029527,-0.052010,0.110010,-0.134465,0.028956,0.014620,0.014301,0.008100,0.012309,0.003435,0.007526,0.003032,0.011139,0.004225,0.006249,0.006834,0.009904,0.010054,0.031728,0.007307,0.623217,0.053428,0.038015,0.315057,0.000988,0.060327,2.862216,0.785212,1.057748,0.503495,0.603495,0.399930,0.330422,0.293171,0.303865,0.250801,0.199713,0.162430,0.177101,0.014666,0.014899,0.009636,0.015973,0.003803,0.009602,0.003602,0.015529,0.004886,0.005659,0.006269,0.010809,0.006660,positive
0.059029,0.010424,2.600558,0.119918,0.157544,0.274417,0.001352,0.067911,-23.301407,2.380425,-0.029903,0.279794,-0.953853,-0.010930,-0.499004,-0.024835,0.085503,-0.123793,0.104723,-0.161983,0.017308,0.012042,0.007576,0.005250,0.015897,0.003193,0.010511,0.003156,0.006204,0.003289,0.007746,0.008922,0.006856,0.012037,0.034857,0.009992,0.587976,0.053018,0.036427,0.342755,0.001128,0.070786,2.297011,0.659978,0.990502,0.476511,0.615988,0.449702,0.377845,0.290997,0.312576,0.255003,0.236590,0.196161,0.191333,0.021271,0.014877,0.007633,0.025843,0.004079,0.015913,0.004703,0.009663,0.004618,0.013032,0.012789,0.008532,0.009833,positive
0.055779,0.012700,2.606135,0.111576,0.152676,0.214270,0.001461,0.057518,-23.000595,2.444448,-0.146740,0.270617,-0.929357,-0.163357,-0.436529,-0.037264,0.073335,-0.110859,0.054688,-0.105141,0.050520,0.008267,0.006429,0.005921,0.019155,0.004539,0.011172,0.004238,0.006997,0.003485,0.005132,0.005738,0.004419,0.011147,0.031127,0.010256,0.531603,0.047208,0.035853,0.299658,0.001107,0.057381,2.394037,0.679703,0.889737,0.458609,0.595036,0.434351,0.346375,0.302445,0.287704,0.247497,0.221576,0.196284,0.188013,0.013731,0.010311,0.009410,0.028749,0.005268,0.015625,0.006235,0.010509,0.006007,0.007316,0.007727,0.005979,0.008594,positive
0.058687,0.010828,2.603771,0.117050,0.155720,0.252061,0.001458,0.065569,-23.336710,2.500076,-0.259908,0.220895,-0.765735,-0.057758,-0.491583,-0.039543,0.171241,-0.131563,0.047327,-0.145564,0.063588,0.010170,0.007652,0.004889,0.014704,0.003062,0.012574,0.004478,0.007202,0.003363,0.005603,0.006868,0.006027,0.011121,0.033754,0.009635,0.568113,0.054048,0.040194,0.340941,0.001181,0.071180,2.580224,0.740144,1.015152,0.462499,0.646653,0.436764,0.381601,0.275212,0.319580,0.287550,0.210137,0.194041,0.195657,0.016701,0.011552,0.006770,0.020607,0.003455,0.020014,0.006945,0.012315,0.004977,0.009053,0.009935,0.008996,0.008372,positive
0.056050,0.010681,2.610675,0.113030,0.150824,0.247300,0.001376,0.065388,-23.239089,2.395791,-0.254074,0.226019,-0.845777,-0.139401,-0.443906,0.015074,0.039502,-0.020735,0.028269,-0.153954,0.041229,0.009446,0.008346,0.003591,0.013083,0.002624,0.009642,0.004413,0.009217,0.004268,0.005668,0.006326,0.006149,0.010411,0.032166,0.009099,0.570104,0.050824,0.037304,0.320375,0.000945,0.066730,2.469848,0.665132,0.952827,0.522662,0.649384,0.445685,0.388940,0.290334,0.313814,0.274968,0.220682,0.208142,0.184230,0.014133,0.011811,0.005191,0.022391,0.003211,0.015427,0.007203,0.014816,0.006218,0.008696,0.008683,0.008857,0.007981,positive
0.056060,0.011349,2.615882,0.110387,0.151095,0.229675,0.001305,0.061120,-22.786260,2.311140,-0.157099,0.171295,-0.899256,-0.187249,-0.355221,-0.001263,-0.072268,0.032920,-0.000693,-0.078498,0.017998,0.007655,0.007291,0.003362,0.017007,0.003865,0.007741,0.004197,0.007652,0.004446,0.005630,0.007902,0.005994,0.009995,0.031633,0.009007,0.547424,0.047622,0.039207,0.252866,0.000949,0.061652,2.099993,0.572859,1.040159,0.432170,0.614030,0.437003,0.384703,0.248542,0.320765,0.262439,0.240707,0.189183,0.213792,0.012377,0.012596,0.004745,0.022797,0.005084,0.011100,0.005446,0.011057,0.006133,0.007677,0.009987,0.007513,0.006971,positive
