@RELATION knn_inter
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {negative,positive}

@DATA
0.059454,0.006215,2.950973,0.115203,0.139824,0.469004,0.014172,0.087763,-27.875912,1.932870,0.260714,-0.327408,-0.342906,0.024695,-0.165192,-0.041585,-0.155604,-0.058164,-0.196480,-0.042229,-0.159955,0.020466,0.007464,0.024176,0.020473,0.020239,0.016004,0.018331,0.002933,0.008974,0.017131,0.019218,0.008675,0.022712,0.048842,0.005702,0.434228,0.044184,0.034930,0.479153,0.011408,0.083855,2.743343,1.084893,0.828117,0.504327,0.497488,0.385139,0.330473,0.300483,0.296737,0.294225,0.292412,0.281353,0.273856,0.025687,0.011431,0.029810,0.029195,0.025482,0.023439,0.021726,0.004848,0.013009,0.020207,0.023846,0.013713,0.013603,negative
0.055083,0.008377,2.917532,0.114375,0.149498,0.358581,0.014616,0.080546,-27.444182,2.190415,-0.051708,-0.114723,-0.357637,0.128107,0.035518,0.048683,-0.101076,-0.042089,-0.130539,-0.031140,-0.117768,0.018897,0.007064,0.032363,0.017121,0.021503,0.013773,0.029275,0.004464,0.008118,0.016275,0.020400,0.007513,0.023627,0.055337,0.008314,0.395632,0.054149,0.035125,0.458395,0.009688,0.088381,2.650825,0.962463,0.936034,0.505865,0.465436,0.392100,0.355041,0.311649,0.300889,0.280002,0.279277,0.267138,0.265129,0.024696,0.010647,0.035217,0.022323,0.024650,0.018972,0.034029,0.008269,0.011746,0.019154,0.023107,0.011318,0.013709,negative
0.062487,0.047124,3.137158,0.118993,0.139349,0.526247,0.008252,0.099746,-23.329244,0.586418,-0.890113,-0.459039,-0.313777,0.183494,-0.052898,-0.277360,-0.234445,-0.100064,-0.188419,-0.014897,-0.080018,0.010535,0.005888,0.014046,0.010803,0.012104,0.015537,0.015336,0.011406,0.012971,0.011587,0.011400,0.007967,0.016749,0.025867,0.030290,0.174685,0.028113,0.026083,0.283790,0.005489,0.045394,1.204135,0.561291,0.549552,0.369618,0.377801,0.328999,0.289786,0.259054,0.287709,0.308300,0.283319,0.293824,0.277564,0.013631,0.007355,0.015564,0.013960,0.014475,0.019577,0.018484,0.015009,0.015197,0.013803,0.013835,0.010094,0.010145,negative
0.054228,0.008476,2.953430,0.107542,0.137873,0.394504,0.013341,0.081976,-26.880030,2.354741,-0.477853,-0.471789,-0.207666,0.085224,0.048070,-0.031239,-0.009943,-0.034635,-0.245844,-0.088075,-0.129455,0.021289,0.010669,0.022671,0.018886,0.016243,0.011929,0.016210,0.005217,0.008847,0.017849,0.018432,0.010318,0.019124,0.046928,0.009132,0.340823,0.043084,0.034335,0.474798,0.008387,0.084358,2.016034,0.829671,0.718050,0.397472,0.445173,0.313908,0.324834,0.294896,0.268889,0.254772,0.260088,0.248191,0.253859,0.025548,0.015294,0.023881,0.023770,0.019353,0.016370,0.018547,0.008221,0.011562,0.019800,0.020918,0.014246,0.010864,negative
0.046626,0.039327,3.053662,0.111544,0.158001,0.247664,0.012557,0.063685,-26.164081,2.172354,-0.575224,0.090667,-0.271120,0.145785,-0.109271,0.057500,-0.036707,-0.023236,-0.081474,-0.026494,-0.027180,0.017945,0.009482,0.024067,0.015661,0.025421,0.015794,0.025933,0.005465,0.009494,0.016363,0.019438,0.008426,0.022600,0.034161,0.043193,0.255493,0.038429,0.030448,0.336885,0.007858,0.059247,2.211818,0.714406,0.813650,0.424261,0.523570,0.382736,0.356199,0.292444,0.294163,0.278214,0.266865,0.252184,0.256792,0.022668,0.014501,0.024103,0.019384,0.028652,0.022346,0.025428,0.009874,0.014493,0.018824,0.021388,0.011824,0.011194,negative
0.080630,0.014408,3.064227,0.148234,0.156849,0.694760,0.010773,0.131272,-25.356150,1.156422,-0.442633,-0.334247,-0.244375,0.249349,-0.139608,-0.021461,-0.201568,-0.046853,-0.186932,-0.035033,-0.092860,0.012921,0.007023,0.015532,0.014653,0.016569,0.013705,0.018051,0.007513,0.009116,0.011203,0.013401,0.007758,0.017936,0.060275,0.011422,0.291357,0.055450,0.026725,0.527773,0.009512,0.105401,1.693616,0.790730,0.825146,0.531906,0.445727,0.376536,0.315622,0.313098,0.330327,0.312496,0.327484,0.324436,0.324544,0.017463,0.010111,0.018402,0.019828,0.022046,0.020066,0.021651,0.014001,0.014103,0.014485,0.016813,0.011717,0.011274,negative
0.062398,0.007475,2.930831,0.119856,0.148093,0.416415,0.016266,0.090965,-27.393919,1.249702,-0.691318,-0.496104,-0.201657,0.177509,-0.295961,-0.217261,-0.180126,-0.098292,-0.099715,0.039778,-0.046876,0.013341,0.007255,0.017754,0.013864,0.017653,0.016063,0.017805,0.007982,0.012562,0.012061,0.012693,0.007620,0.020598,0.054940,0.007861,0.429205,0.052256,0.036738,0.446064,0.010414,0.086995,2.616836,1.178787,0.758140,0.667942,0.465749,0.439090,0.397011,0.373096,0.370382,0.388243,0.407301,0.386474,0.357542,0.020914,0.012225,0.023832,0.020469,0.025466,0.024774,0.024341,0.014078,0.018891,0.017804,0.018218,0.012454,0.012498,negative
0.032028,0.055205,3.085340,0.091621,0.145638,0.150947,0.013704,0.041274,-24.684366,2.574205,-0.383757,0.138912,0.035165,0.264730,0.037654,0.095411,-0.051555,0.027281,0.055850,0.019539,-0.003539,0.014921,0.006511,0.041532,0.013369,0.018592,0.013465,0.031196,0.004484,0.008940,0.022295,0.036127,0.005814,0.025242,0.018580,0.048078,0.226702,0.026011,0.033360,0.178883,0.010575,0.033649,1.868223,0.655958,0.726754,0.392348,0.416324,0.294866,0.260884,0.266732,0.237683,0.225364,0.227295,0.206590,0.219753,0.017905,0.011225,0.034712,0.016807,0.019872,0.017901,0.024533,0.008757,0.014337,0.020436,0.030455,0.009241,0.010093,negative
0.067550,0.010356,2.890586,0.130722,0.156580,0.432413,0.014789,0.095372,-27.523165,2.434407,-0.287524,-0.216435,-0.187380,0.115947,0.016542,-0.018675,-0.019930,-0.051042,-0.057540,0.004288,-0.095212,0.017377,0.007111,0.026538,0.013422,0.019444,0.014018,0.030147,0.004902,0.011385,0.018570,0.020312,0.006928,0.022615,0.066486,0.010908,0.442787,0.065150,0.033907,0.529801,0.010274,0.111050,2.710685,1.029588,0.811227,0.512315,0.423746,0.357950,0.313935,0.305747,0.290668,0.272653,0.277544,0.260483,0.269073,0.022408,0.010451,0.030801,0.018452,0.021179,0.019573,0.031447,0.008995,0.015533,0.019777,0.023066,0.009990,0.012723,negative
0.065095,0.016880,2.998519,0.127531,0.149170,0.563646,0.012590,0.107029,-25.702021,1.645601,0.325880,-0.041682,-0.264787,0.022169,-0.017379,-0.031625,-0.116296,-0.011997,-0.178570,0.007135,-0.166261,0.017189,0.005715,0.021212,0.017112,0.022117,0.013152,0.027704,0.004058,0.008512,0.020184,0.019214,0.007201,0.022102,0.053512,0.012707,0.348922,0.053169,0.031673,0.508341,0.008582,0.093738,2.565884,0.977981,0.920913,0.519133,0.532625,0.410141,0.372774,0.301517,0.312879,0.280161,0.280084,0.275404,0.277469,0.022527,0.008850,0.027116,0.024774,0.028035,0.018516,0.031967,0.006905,0.011953,0.022781,0.022842,0.010714,0.013722,negative
0.052505,0.005749,2.969689,0.129581,0.171418,0.321087,0.015817,0.074834,-28.350355,2.380483,-0.416456,-0.206648,-0.260931,0.253974,-0.010666,0.040762,-0.059066,-0.006786,-0.045162,-0.008626,-0.045709,0.018529,0.007134,0.032168,0.014701,0.021223,0.013787,0.031347,0.005558,0.008937,0.015703,0.024764,0.010730,0.026324,0.047205,0.006060,0.343095,0.058193,0.035944,0.402602,0.011891,0.086531,2.638026,0.883869,0.781873,0.475160,0.479462,0.363592,0.346172,0.294172,0.292008,0.272606,0.272946,0.270090,0.263952,0.024334,0.012177,0.034783,0.020675,0.025013,0.019868,0.033688,0.010541,0.012491,0.018860,0.028650,0.016080,0.013165,negative
